銘柄コード,銘柄名,株価,判定,出来高比率,出来高枯れ,出来高再増加,小実体,じわ切り上げ,日足代表価格上,MA5上,MA25上,MA75上,MA200上,全MA上,直近高値からの下落(%),損切り目安下幅(%),急騰期待スコア,優先ランク,スコア根拠,監視優先度
150A,"JSH Co.,Ltd.",841.0,🚀 Step3（エントリー候補）,4.34,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,-4.4,45.9,81,A,stage=32; position=27; volume=10; shape=11; risk=1 | risk: stop width >15%,★★ 強監視
2411,Gendai Agency Inc.,470.0,⏳ Step2完了（次の急騰待ち）,0.5,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-1.1,3.0,80,A,stage=24; position=27; volume=8; shape=11; risk=10,★★ 強監視
7399,"Nansin Co., Ltd.",618.0,⏳ Step2完了（次の急騰待ち）,0.38,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-1.9,4.0,80,A,stage=24; position=27; volume=8; shape=11; risk=10,★★ 強監視
2376,Scinex Corporation,800.0,🚀 Step3（エントリー候補）,7.7,✗,✓,✗,✓,✓,✓,✓,✓,✓,✓,0.0,8.2,79,A,stage=32; position=27; volume=10; shape=5; risk=5,★★ 強監視
5542,Shinhokoku Material Corp.,999.0,🚀 Step3（エントリー候補）,4.29,✗,✓,✓,✓,✓,✓,✓,✓,✓,✓,0.0,21.4,79,A,stage=32; position=27; volume=10; shape=11; risk=-1 | risk: stop width >15%,★★ 強監視
4707,KITAC Corporation,343.0,⏳ Step2完了（次の急騰待ち）,0.34,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-7.0,7.0,79,A,stage=24; position=27; volume=8; shape=11; risk=9,★★ 強監視
5900,"Daiken Co.,Ltd.",899.0,⏳ Step2完了（次の急騰待ち）,0.51,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-1.9,6.1,79,A,stage=24; position=27; volume=8; shape=11; risk=9,★★ 強監視
5952,Amatei Incorporated,191.0,⏳ Step2完了（次の急騰待ち）,0.23,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-1.0,5.8,79,A,stage=24; position=27; volume=8; shape=11; risk=9,★★ 強監視
7362,Terminalcare Support Institute Inc.,878.0,⏳ Step2完了（次の急騰待ち）,0.12,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-1.8,5.7,79,A,stage=24; position=27; volume=8; shape=11; risk=9,★★ 強監視
7782,"Sincere Co., LTD.",490.0,⏳ Step2完了（次の急騰待ち）,0.36,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-1.2,6.7,79,A,stage=24; position=27; volume=8; shape=11; risk=9,★★ 強監視
9419,"WirelessGate, Inc.",299.0,⏳ Step2完了（次の急騰待ち）,0.43,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-2.0,5.7,79,A,stage=24; position=27; volume=8; shape=11; risk=9,★★ 強監視
4645,"Ichishin Holdings Co.,Ltd.",439.0,⏳ Step2完了（次の急騰待ち）,0.29,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,0.0,2.3,78,A,stage=24; position=27; volume=8; shape=11; risk=8,★★ 強監視
6325,"Takakita Co., Ltd.",420.0,⏳ Step2完了（次の急騰待ち）,0.21,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-0.5,4.3,78,A,stage=24; position=27; volume=8; shape=11; risk=8,★★ 強監視
7111,"INEST, Inc.",514.0,⏳ Step2完了（次の急騰待ち）,0.09,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-6.4,8.2,77,B,stage=24; position=27; volume=8; shape=11; risk=7,★ 監視
7371,Zenken Corporation,809.0,⏳ Step2完了（次の急騰待ち）,0.35,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-1.8,9.8,77,B,stage=24; position=27; volume=8; shape=11; risk=7,★ 監視
7619,"Tanaka Co.,Ltd.",989.0,⏳ Step2完了（次の急騰待ち）,0.4,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,0.0,6.8,77,B,stage=24; position=27; volume=8; shape=11; risk=7,★ 監視
7837,"R. C. Core Co., Ltd.",346.0,⏳ Step2完了（次の急騰待ち）,0.02,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-0.6,5.5,77,B,stage=24; position=27; volume=8; shape=11; risk=7,★ 監視
9212,"Green Earth Institute Co., Ltd.",288.0,🚀 Step3（エントリー候補）,6.02,✗,✓,✗,✓,✓,✓,✓,✓,✗,✗,-2.4,10.1,75,B,stage=32; position=21; volume=10; shape=5; risk=7,★ 監視
9376,"Eurasia Travel Co., Ltd.",845.0,⏳ Step2完了（次の急騰待ち）,0.47,✓,✗,✓,✓,✓,✓,✓,✓,✓,✓,-0.1,8.2,75,B,stage=24; position=27; volume=8; shape=11; risk=5,★ 監視
3758,Aeria Inc.,249.0,⏳ Step2完了（次の急騰待ち）,0.34,✓,✗,✓,✓,✓,✓,✓,✓,✗,✗,-2.7,4.4,74,B,stage=24; position=21; volume=8; shape=11; risk=10,★ 監視
