trade_id,code,name,signal_date,entry_date,entry_price,signal_score,signal_rank,stop_price,target10,target20,target30,status,days_observed,max_high,min_low,max_gain_pct,max_drawdown_pct,hit_10,hit_20,hit_30,hit_stop,exit_date,exit_price,exit_reason,last_update
2179_20260811,2179,"Seigakusha Co.,Ltd.",2026-08-11,2026-08-11,837.0,87,S,774.23,920.7,1004.4,1088.1,CLOSED,20,888.0,822.0,6.09,-1.79,False,False,False,False,2026-09-08,834.0,20営業日経過,2026-09-08
4243_20260811,4243,"Nix, Inc.",2026-08-11,2026-08-11,985.0,87,S,902.26,1083.5,1182.0,1280.5,CLOSED,20,1149.0,961.0,16.65,-2.44,True,False,False,False,2026-09-08,1029.0,20営業日経過,2026-09-08
5542_20260811,5542,Shinhokoku Material Corp.,2026-08-11,2026-08-11,873.0,86,S,770.86,960.3,1047.6,1134.9,CLOSED,20,1034.0,873.0,18.44,0.0,True,False,False,False,2026-09-08,926.0,20営業日経過,2026-09-08
3035_20260811,3035,ktk Inc.,2026-08-11,2026-08-11,809.0,85,S,770.17,889.9,970.8,1051.7,CLOSED,5,809.0,768.0,0.0,-5.07,False,False,False,True,2026-08-18,770.17,STOP,2026-08-27
6155_20260811,6155,"Takamatsu Machinery Co., Ltd.",2026-08-11,2026-08-11,538.0,85,S,479.9,591.8,645.6,699.4,CLOSED,20,556.0,518.0,3.35,-3.72,False,False,False,False,2026-09-08,541.0,20営業日経過,2026-09-08
6964_20260811,6964,"Sanko Co., Ltd.",2026-08-11,2026-08-11,698.0,82,A,653.33,767.8,837.6,907.4,CLOSED,20,709.0,690.0,1.58,-1.15,False,False,False,False,2026-09-08,690.0,20営業日経過,2026-09-08
2464_20260811,2464,"Aoba-BBT, Inc.",2026-08-11,2026-08-11,343.0,81,A,314.87,377.3,411.6,445.9,CLOSED,20,382.0,336.0,11.37,-2.04,True,False,False,False,2026-09-08,370.0,20営業日経過,2026-09-08
3238_20260811,3238,"Central General Development Co., Ltd.",2026-08-11,2026-08-11,401.0,81,A,362.91,441.1,481.2,521.3,CLOSED,20,401.0,377.0,0.0,-5.99,False,False,False,False,2026-09-08,385.0,20営業日経過,2026-09-08
2481_20260811,2481,"Townnews-Sha Co.,Ltd.",2026-08-11,2026-08-11,666.0,80,A,624.71,732.6,799.2,865.8,CLOSED,20,692.0,649.0,3.9,-2.55,False,False,False,False,2026-09-08,685.0,20営業日経過,2026-09-08
4360_20260811,4360,"MANAC Chemical Partners Co.,Ltd",2026-08-11,2026-08-11,909.0,80,A,769.01,999.9,1090.8,1181.7,CLOSED,20,1040.0,850.0,14.41,-6.49,True,False,False,False,2026-09-08,966.0,20営業日経過,2026-09-08
4447_20260811,4447,"PBsystems,Inc.",2026-08-11,2026-08-11,473.0,80,A,423.81,520.3,567.6,614.9,CLOSED,20,511.0,472.0,8.03,-0.21,False,False,False,False,2026-09-08,497.0,20営業日経過,2026-09-08
4245_20260811,4245,"Daiki Axis Co., Ltd.",2026-08-11,2026-08-11,715.0,79,A,655.65,786.5,858.0,929.5,CLOSED,20,729.0,698.0,1.96,-2.38,False,False,False,False,2026-09-08,713.0,20営業日経過,2026-09-08
7217_20260811,7217,"Tein, Inc.",2026-08-11,2026-08-11,457.0,79,A,409.01,502.7,548.4,594.1,CLOSED,20,467.0,443.0,2.19,-3.06,False,False,False,False,2026-09-08,452.0,20営業日経過,2026-09-08
